filename	GT_id	ocr_lines_in_part	total_aligned_lines	aligned_lines_ratio	max_aligned_clusters_size
IE87234800_00004.xml	MT_NoVoc_concatenated.txt	22	8	36.4	6
IE87234800_00005.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	22	100.0	22
IE87234800_00005.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22	22	100.0	22
IE87234800_00005.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	21	95.5	12
IE87234800_00005.xml	Siddur_Ashkenaz_clean_concatenated.txt	22	17	77.3	9
IE87297122_00014.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	25	2	8.0	2
IE87297122_00014.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	25	2	8.0	2
IE87297122_00014.xml	MT_NoVoc_concatenated.txt	25	2	8.0	2
IE87297122_00014.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	25	2	8.0	2
IE87363222_00008.xml	Siddur_Ashkenaz_clean_concatenated.txt	25	14	56.0	14
IE87363222_00008.xml	MT_NoVoc_concatenated.txt	25	14	56.0	14
IE87363222_00008.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	25	12	48.0	12
IE87363222_00008.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	25	13	52.0	10
IE87363222_00008.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	25	13	52.0	10
IE87447950_00011.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	10	45.5	6
IE87447950_00011.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22	12	54.5	6
IE87447950_00011.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	13	59.1	6
IE87447950_00015.xml	MT_NoVoc_concatenated.txt	31	13	41.9	10
IE87447950_00015.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	31	23	74.2	8
IE87447950_00015.xml	Siddur_Ashkenaz_clean_concatenated.txt	31	10	32.3	8
IE87447950_00015.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	31	22	71.0	7
IE87447950_00015.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	31	15	48.4	6
IE87447950_00018.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	28	20	71.4	17
IE87447950_00018.xml	Siddur_Ashkenaz_clean_concatenated.txt	28	20	71.4	17
IE87447950_00018.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	28	20	71.4	17
IE87447950_00018.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	28	17	60.7	17
IE87474895_00014.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22	4	18.2	4
IE87474895_00014.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	4	18.2	4
IE87474895_00014.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	3	13.6	2
IE87474895_00044.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	27	27	100.0	27
