filename	GT_id	max_aligned_clusters_size
IE87739615_00009.xml	Siddur_Ashkenaz_clean_concatenated.txt	6
IE87739615_00009.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2
IE87739615_00009.xml	MT_NoVoc_concatenated.txt	2
IE87744435_00015.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	11
IE87744435_00015.xml	MT_NoVoc_concatenated.txt	10
IE87744435_00015.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	7
IE87744435_00039.xml	Siddur_Ashkenaz_clean_concatenated.txt	19
IE87744435_00039.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	18
IE87744435_00039.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	18
IE87744435_00039.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	18
IE87744435_00039.xml	MT_NoVoc_concatenated.txt	14
IE87752740_00019.xml	Siddur_Ashkenaz_clean_concatenated.txt	11
IE87752740_00019.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	11
IE87752740_00019.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	11
IE87752740_00019.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4
IE87752740_00022.xml	Siddur_Ashkenaz_clean_concatenated.txt	13
IE87752740_00022.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13
IE87752740_00022.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13
IE87752740_00022.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	7
IE87752740_00038.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13
IE87752740_00038.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	8
IE87755510_00024.xml	Siddur_Ashkenaz_clean_concatenated.txt	16
IE87755510_00024.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	16
IE87755510_00024.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12
IE87755510_00024.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	12
