id	filename	doc_pk	part_pk	title	ocr_lines_in_part	Top1_GT_id	total_aligned_lines_1	Top2_GT_id	total_aligned_lines_2	Top3_GT_id	total_aligned_lines_3	Top4_GT_id	total_aligned_lines_4	Top5_GT_id	total_aligned_lines_5
47	IE87508468_00031.xml	4381	734763	Element 29	18	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	14	Siddur_Ashkenaz_clean_concatenated.txt	12	MT_NoVoc_concatenated.txt	12				
48	IE61220167_00097.xml	4381	734743	Element 9	19	Siddur_Ashkenaz_clean_concatenated.txt	8	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	7	MT_NoVoc_concatenated.txt	7				
49	IE103409244_00025.xml	4381	734737	Element 3	28	MT_NoVoc_concatenated.txt	27								
50	IE87610546_00015.xml	4381	734773	Element 39	17	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	Siddur_Ashkenaz_clean_concatenated.txt	6	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	6	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	4	MT_NoVoc_concatenated.txt	2
51	IE87581919_00018.xml	4381	734771	Element 37	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12	Siddur_Ashkenaz_clean_concatenated.txt	10	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	9	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	6	MT_NoVoc_concatenated.txt	5
52	IE87752740_00019.xml	4381	734795	Element 61	11	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	11	Siddur_Ashkenaz_clean_concatenated.txt	11	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	11	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	9		
53	IE87744435_00039.xml	4381	734794	Element 60	29	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	21	Siddur_Ashkenaz_clean_concatenated.txt	21	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	21	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	20	MT_NoVoc_concatenated.txt	19
54	IE87234800_00003.xml	4381	734750	Element 16	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3	MT_NoVoc_concatenated.txt	1						
55	IE87555665_00021.xml	4381	734766	Element 32	14	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	Siddur_Ashkenaz_clean_concatenated.txt	6						
56	IE87733114_00007.xml	4381	734790	Element 56	27	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	9	Siddur_Ashkenaz_clean_concatenated.txt	8	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8	MT_NoVoc_concatenated.txt	1		
57	IE87476216_00051.xml	4381	734760	Element 26	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	21	Siddur_Ashkenaz_clean_concatenated.txt	4	MT_NoVoc_concatenated.txt	4				
58	IE87719995_00046.xml	4381	734786	Element 52	30	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	11	Siddur_Ashkenaz_clean_concatenated.txt	10	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8		
59	IE103402206_00010.xml	4381	734735	Element 1	11	MT_NoVoc_concatenated.txt	11								
