id	filename	doc_pk	part_pk	title	ocr_lines_in_part	Top1_GT_id	max_aligned_clusters_size_1	Top2_GT_id	max_aligned_clusters_size_2	Top3_GT_id	max_aligned_clusters_size_3	Top4_GT_id	max_aligned_clusters_size_4	Top5_GT_id	max_aligned_clusters_size_5
38	IE87717323_00012.xml	4381	734785	Element 51	24	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	9	Siddur_Ashkenaz_clean_concatenated.txt	9	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	9	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8	MT_NoVoc_concatenated.txt	4
39	IE87755510_00024.xml	4381	734798	Element 64	18	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	16	Siddur_Ashkenaz_clean_concatenated.txt	16	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	12		
40	IE103336373_00043.xml	4381	775261	Element 65	48	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	Siddur_Ashkenaz_clean_concatenated.txt	6	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	6	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	4	MT_NoVoc_concatenated.txt	4
41	IE87733114_00008.xml	4381	734791	Element 57	24	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23	Siddur_Ashkenaz_clean_concatenated.txt	23						
42	IE87532920_00026.xml	4381	734765	Element 31	24	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	24	Siddur_Ashkenaz_clean_concatenated.txt	16	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	14	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13	MT_NoVoc_concatenated.txt	6
43	IE87447950_00015.xml	4381	734756	Element 22	31	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10	Siddur_Ashkenaz_clean_concatenated.txt	8	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	7	MT_NoVoc_concatenated.txt	6
44	IE21442926_00014.xml	4381	775263	Element 67	66	MT_NoVoc_concatenated.txt	23								
45	IE61220167_00084.xml	4381	734742	Element 8	19	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	9	Siddur_Ashkenaz_clean_concatenated.txt	9	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8		
46	IE87726132_00023.xml	4381	734788	Element 54	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	Siddur_Ashkenaz_clean_concatenated.txt	12	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	12	MT_NoVoc_concatenated.txt	7
47	IE87675634_00007.xml	4381	734774	Element 40	26	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3	Siddur_Ashkenaz_clean_concatenated.txt	3	MT_NoVoc_concatenated.txt	3				
48	IE87447950_00018.xml	4381	734757	Element 23	28	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	17	Siddur_Ashkenaz_clean_concatenated.txt	17	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	17	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	17		
49	IE87519524_00013.xml	4381	734764	Element 30	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10	Siddur_Ashkenaz_clean_concatenated.txt	10	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3	MT_NoVoc_concatenated.txt	3		
50	IE87476216_00051.xml	4381	734760	Element 26	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	18	Siddur_Ashkenaz_clean_concatenated.txt	4	MT_NoVoc_concatenated.txt	4				
51	IE87610546_00015.xml	4381	734773	Element 39	17	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5	Siddur_Ashkenaz_clean_concatenated.txt	5	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	4	MT_NoVoc_concatenated.txt	2
52	IE103409244_00025.xml	4381	734737	Element 3	28	MT_NoVoc_concatenated.txt	14								
53	IE87705976_00034.xml	4381	734780	Element 46	18	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	3				
54	IE87474895_00014.xml	4381	734758	Element 24	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	4	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	2				
55	IE87733114_00007.xml	4381	734790	Element 56	27	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	Siddur_Ashkenaz_clean_concatenated.txt	6	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	5	MT_NoVoc_concatenated.txt	1		
56	IE36628376_00046.xml	4381	775264	Element 68	40	MT_NoVoc_concatenated.txt	14								
57	IE87580382_00041.xml	4381	734768	Element 34	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13	Siddur_Ashkenaz_clean_concatenated.txt	13	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13		
58	IE61220167_00083.xml	4381	734741	Element 7	19	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5	MT_NoVoc_concatenated.txt	2						
59	IE87705971_00006.xml	4381	734779	Element 45	19	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	10	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	10				
